Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/Shopify/status/1682519958344056832/,ShopifyReload,https://twitter.com/Shopify,,Get everything you need to build a business with Shopify!,,https://twitter.com/Shopify/status/1682519958344056832/,True,197,272,793,15M
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/aapkadharm/status/1699395840757162378,DHARMESH ਜੱਟ جٹReload,https://twitter.com/aapkadharm,2023-09-06,"#BharatVsIndia करवाने वाले ""झींगुरो"" जूनियर ""लालू जी"" जी की भी सुन लो..क्या जबरदस्त धोया है नारंगी संतरो को.. #IndiaThatIsBharat",,https://twitter.com/aapkadharm/status/1699395840757162378,False,7,99,189,"8,931"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/farukhsaifi/status/1700852161167704510,Farukh SaifiReload,https://twitter.com/farukhsaifi,2023-09-10,Father Zaman is helping the ground staff. What a beautiful gesture by himSuch a humble and nice human #INDvsPAK #BharatVsIndia #Gill #Shadab #KLRahul #AsiaCup2023 #AsiaCup #AbhishekhMalhan #Fukralnsaan #YouTubers,,https://twitter.com/farukhsaifi/status/1700852161167704510,False,,,2,347
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/Vyas_108/status/1699377921792921935,VyasReload,https://twitter.com/Vyas_108,2023-09-06,India is a name given by the British#BharatVsIndia #IndiaThatIsBharat#भारत #भारत_माता_की_जय,,https://twitter.com/Vyas_108/status/1699377921792921935,False,12,28,100,"8,830"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/aditi_tyagi/status/1699719621522452852,aditi tyagiReload,https://twitter.com/aditi_tyagi,2023-09-07,"For those who are trying to make it #BharatVsIndia debate, this is how I approach this topic from yesterday!",,https://twitter.com/aditi_tyagi/status/1699719621522452852,False,2,19,80,"2,040"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/Sainianu22/status/1700850359269281956,Anu Saini,https://twitter.com/Sainianu22,2023-09-10,What is this chicha  #INDvsPAK #BharatVspak#IndiavsPak #BharatVsIndia,https://pbs.twimg.com/media/F5qiWlYXoAELw5-?format=jpg&name=small,https://twitter.com/Sainianu22/status/1700850359269281956,False,,1,6,"1,060"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/rohitadhikari92/status/1699329701280706699,Tweeting QuarantinoReloadIndian Meme Templates,https://twitter.com/rohitadhikari92,2023-09-06,"#BharatVsIndia""India likely to be Renamed as BHARAT""V Sehwag on Twitter :",,https://twitter.com/rohitadhikari92/status/1699329701280706699,False,,4,7,"1,517"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/AIconference/status/1692580113005556055/,The AI Conference,https://twitter.com/AIconference,,"The most important AI Conference you will attend this year is just around the corner. Register today and don't miss out on this limited sale!46 speakers, 2 days, 20+ topics, evening hackathon, plus much more...San Francisco, CATuesday, Sept. 26th & Wednesday, Sept. 27th.",https://pbs.twimg.com/media/F307X_hXwAssnRU?format=png&name=small,https://twitter.com/AIconference/status/1692580113005556055/,True,5,2,45,328.6K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/deorashripal92/status/1699353875709673856,Shripal Singh DeoraReload,https://twitter.com/deorashripal92,2023-09-06,Love and respect to our National Flag  from the breathtaking land of Kashmir #Kashmir #G20Summit2023 #nationalflag #BharatVsIndia #TejRan #Abhiya #KrishnaJanmashtami #Bharath #viralvideo #viral #Trending #JammuAndKashmir #KrishnaJayanthi #RaghavChadha #ramyadivyaspandana #Modi,,https://twitter.com/deorashripal92/status/1699353875709673856,False,1,4,37,"8,363"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/NasdaqExchange/status/1682071529146793998/,Nasdaq Exchange,https://twitter.com/NasdaqExchange,,Experience the power of Jamf's endpoint protection that eliminates threats and keeps your devices safe.,https://pbs.twimg.com/media/F1frIfGXwA8VqDE?format=jpg&name=small,https://twitter.com/NasdaqExchange/status/1682071529146793998/,True,6,7,72,3.2M
